PROCESSO ADMIN. Nº,PROCESSO Nº,ARQUIVO_ORIGEM__gt,ARQUIVO_ORIGEM__pred,status
2079325134,0800237-72.2021.8.15.0001,000219_17_2025_8_15_SEI_000219_17.2025.8.15.zip,000219_17_2025_8_15_SEI_000219_17.2025.8.15.zip,TP
2024.815,0805250-57.2018.8.15.0001,003017_35_2024_8_15_SEI_003017_35.2024.8.15.zip,003017_35_2024_8_15_SEI_003017_35.2024.8.15.zip,TP
2022.815,0815354-35.2023.8.15.0001,004281_37_2025_8_15_SEI_004281_37.2025.8.15.zip,004281_37_2025_8_15_SEI_004281_37.2025.8.15.zip,TP
2057.9358,0861321-30.2017.8.15.2001,004517_64_2025_8_15_SEI_004517_64.2025.8.15.zip,004517_64_2025_8_15_SEI_004517_64.2025.8.15.zip,TP
2020.815,0812051-32.2020.8.15.2001,004909_25_2025_8_15_SEI_004909_25.2025.8.15.zip,004909_25_2025_8_15_SEI_004909_25.2025.8.15.zip,TP
2012.815,0086175-97.2012.8.15.2001,005071_46_2025_8_15_SEI_005071_46.2025.8.15.zip,005071_46_2025_8_15_SEI_005071_46.2025.8.15.zip,TP
2057970000,0807895-02.2024.8.15.0371,006366_54_2025_8_15_SEI_006366_54.2025.8.15.zip,006366_54_2025_8_15_SEI_006366_54.2025.8.15.zip,TP
2052.2025,0034084-93.2013.8.15.2001,006722_75_2025_8_15_SEI_006722_75.2025.8.15.zip,006722_75_2025_8_15_SEI_006722_75.2025.8.15.zip,TP
2025.815,0044092-37.2010.8.15.2001,007603_94_2025_8_15_SEI_007603_94.2025.8.15.zip,007603_94_2025_8_15_SEI_007603_94.2025.8.15.zip,TP
2025.2026,0829879-70.2022.8.15.2001,007720_86_2024_8_15_SEI_007720_86.2024.8.15.zip,007720_86_2024_8_15_SEI_007720_86.2024.8.15.zip,TP
2025.815,0807940-06.2024.8.15.0371,008124_34_2025_8_15_SEI_008124_34.2025.8.15.zip,008124_34_2025_8_15_SEI_008124_34.2025.8.15.zip,TP
