PROCESSO ADMIN. Nº,PROCESSO Nº,JUÍZO__gt,JUÍZO__pred,status
2079325134,0800237-72.2021.8.15.0001,2ª Vara da Fazenda Pública da Comarca de Campina Grande,2ª Vara da Fazenda Pública da Comarca de Campina Grande,TP
2024.815,0805250-57.2018.8.15.0001,2ª Vara Mista da Comarca de Ingá,2ª Vara Mista da Comarca de Ingá,TP
2022.815,0815354-35.2023.8.15.0001,Juízo da Vara Única da Comarca de Remígio,Juízo da Vara Única da Comarca de Remígio,TP
2057.9358,0861321-30.2017.8.15.2001,12ª Vara Cível da Comarca da Capital,12ª Vara Cível da Comarca da Capital,TP
2020.815,0812051-32.2020.8.15.2001,4ª Vara Cível da Comarca da Capital,4ª Vara Cível da Comarca da Capital,TP
2012.815,0086175-97.2012.8.15.2001,3ª Vara Cível da Comarca da Capital,3ª Vara Cível da Comarca da Capital,TP
2057970000,0807895-02.2024.8.15.0371,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
2052.2025,0034084-93.2013.8.15.2001,2ª Vara Cível da Comarca da Capital,2ª Vara Cível da Comarca da Capital,TP
2025.815,0044092-37.2010.8.15.2001,3ª Vara Cível da Comarca da Capital,3ª Vara Cível da Comarca da Capital,TP
2025.2026,0829879-70.2022.8.15.2001,9ª Vara Cível da Comarca da Capital,9ª Vara Cível da Comarca da Capital,TP
2025.815,0807940-06.2024.8.15.0371,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
2024.815,0040809-16.2004.8.15.2001,8ª Vara Cível da Capital,8ª Vara Cível da Capital,TP
2025589984,0812507-45.2021.8.15.2001,13ª Vara Cível da Comarca de Capital,13ª Vara Cível da Comarca de Capital,TP
2025.815,0844806-41.2022.8.15.2001,4ª Vara Cível da Comarca de Capital,4ª Vara Cível da Comarca de Capital,TP
2020229480,0808671-02.2024.8.15.0371,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
010707-94.2025.8.15,0807162-70.2023.8.15.0371,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
2025.815,0807980-85.2024.8.15.0371,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
2049.103,0802983-69.2022.8.15.0261,3ª Vara Mista da Comarca de Sousa,3ª Vara Mista da Comarca de Sousa,TP
2025.815,0801068-28.2024.8.15.0321,Juízo da Vara Única da Comarca de Santa Luzia,Juízo da Vara Única da Comarca de Santa Luzia,TP
2019585346,0042386-19.2010.8.15.2001,2ª Vara Cível da Comarca da Capital,2ª Vara Cível da Comarca da Capital,TP
2008500000,0043170-93.2010.8.15.2001,2ª Vara Cível da Comarca da Capital,2ª Vara Cível da Comarca da Capital,TP
2025.2025,0059558-32.2014.8.15.2001,1ª Vara de Família desta Comarca da Capital.,1ª Vara de Família desta Comarca da Capital.,TP
015004-78.2025.8.15,0823984-70.2018.8.15.2001,9ª Vara Cível,9ª Vara Cível,TP
2020.236,0830572-20.2023.8.15.2001,9ª Vara Cível da Comarca da Capital,9ª Vara Cível da Comarca da Capital,TP
2000001128,0800696-73.2025.8.15.0441,Juízo da Vara Única da Comarca de Conde,Juízo da Vara Única da Comarca de Conde,TP
2053427100,0801633-30.2023.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
2025.815,0801525-69.2021.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
2025.815,0801447-09.2022.8.15.0201,1ª Vara Mista da Comarca de Ingá,1ª Vara Mista da Comarca de Ingá,TP
2025.815,0802926-98.2024.8.15.0061,2ª Vara Mista da Comarca de Araruna,2ª Vara Mista da Comarca de Araruna,TP
2000000107,0804872-89.2024.8.15.0131,3ª Vara Mista da Comarca de Cajazeiras,3ª Vara Mista da Comarca de Cajazeiras,TP
2025.2025,0804821-78.2024.8.15.0131,3ª Vara Mista da Comarca de Cajazeiras,3ª Vara Mista da Comarca de Cajazeiras,TP
2025.2025,0805061-67.2024.8.15.0131,3ª Vara Mista da Comarca de Cajazeiras,3ª Vara Mista da Comarca de Cajazeiras,TP
2025.2025,0806282-85.2024.8.15.0131,3ª Vara Mista da Comarca de Cajazeiras.,3ª Vara Mista da Comarca de Cajazeiras.,TP
2025.2025,0803860-40.2024.8.15.0131,3ª Vara Mista da Comarca de Cajazeiras,3ª Vara Mista da Comarca de Cajazeiras,TP
2080.837,0800784-88.2024.8.15.0751,4ª Vara Mista da Comarca de Bayeux.,4ª Vara Mista da Comarca de Bayeux.,TP
2046297374,0840653-62.2022.8.15.2001,7ª Vara Cível da Comarca da Capital,7ª Vara Cível da Comarca da Capital,TP
2025.815,0802828-51.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
2024.815,0803087-46.2024.8.15.0211,3ª Vara Mista da Comarca de Itaporanga,3ª Vara Mista da Comarca de Itaporanga,TP
