PROCESSO ADMIN. Nº,PROCESSO Nº,Nº DE PERÍCIAS__gt,Nº DE PERÍCIAS__pred,status
2079325134,0800237-72.2021.8.15.0001,1,00,Mismatch
2024.815,0805250-57.2018.8.15.0001,2,00,Mismatch
2022.815,0815354-35.2023.8.15.0001,3,00,Mismatch
2057.9358,0861321-30.2017.8.15.2001,4,00,Mismatch
2020.815,0812051-32.2020.8.15.2001,5,00,Mismatch
2012.815,0086175-97.2012.8.15.2001,6,00,Mismatch
2057970000,0807895-02.2024.8.15.0371,7,00,Mismatch
2052.2025,0034084-93.2013.8.15.2001,8,00,Mismatch
2025.815,0044092-37.2010.8.15.2001,9,00,Mismatch
2025.2026,0829879-70.2022.8.15.2001,10,00,Mismatch
2025.815,0807940-06.2024.8.15.0371,11,00,Mismatch
2024.815,0040809-16.2004.8.15.2001,12,00,Mismatch
2025589984,0812507-45.2021.8.15.2001,13,00,Mismatch
2025.815,0844806-41.2022.8.15.2001,14,00,Mismatch
2020229480,0808671-02.2024.8.15.0371,15,00,Mismatch
010707-94.2025.8.15,0807162-70.2023.8.15.0371,16,00,Mismatch
2025.815,0807980-85.2024.8.15.0371,17,00,Mismatch
2049.103,0802983-69.2022.8.15.0261,18,00,Mismatch
2025.815,0801068-28.2024.8.15.0321,19,00,Mismatch
2019585346,0042386-19.2010.8.15.2001,20,00,Mismatch
2008500000,0043170-93.2010.8.15.2001,21,00,Mismatch
2025.2025,0059558-32.2014.8.15.2001,22,00,Mismatch
015004-78.2025.8.15,0823984-70.2018.8.15.2001,23,00,Mismatch
2020.236,0830572-20.2023.8.15.2001,24,00,Mismatch
2000001128,0800696-73.2025.8.15.0441,25,00,Mismatch
2053427100,0801633-30.2023.8.15.0061,26,00,Mismatch
2025.815,0801525-69.2021.8.15.0061,27,00,Mismatch
2025.815,0801447-09.2022.8.15.0201,28,00,Mismatch
2025.815,0802926-98.2024.8.15.0061,29,00,Mismatch
2000000107,0804872-89.2024.8.15.0131,30,00,Mismatch
2025.2025,0804821-78.2024.8.15.0131,31,00,Mismatch
2025.2025,0805061-67.2024.8.15.0131,32,00,Mismatch
2025.2025,0806282-85.2024.8.15.0131,33,00,Mismatch
2025.2025,0803860-40.2024.8.15.0131,34,00,Mismatch
2080.837,0800784-88.2024.8.15.0751,35,00,Mismatch
2046297374,0840653-62.2022.8.15.2001,36,00,Mismatch
2025.815,0802828-51.2024.8.15.0211,37,00,Mismatch
2024.815,0803087-46.2024.8.15.0211,38,00,Mismatch
016155-35.2025.8.15,0803389-75.2024.8.15.0211,39,00,Mismatch
2000000931,0804518-18.2024.8.15.0211,40,00,Mismatch
2000000862,0802999-08.2024.8.15.0211,41,00,Mismatch
2041927123,0804778-35.2016.8.15.2003,42,00,Mismatch
2043184850,0800748-50.2022.8.15.0061,43,00,Mismatch
017493-36.2025.8.15,0802076-69.2023.8.15.0161,44,00,Mismatch
2072162100,0802374-37.2025.8.15.0211,45,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,46,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,47,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,48,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,49,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,50,00,Mismatch
2005042413,0801610-82.2023.8.15.0191,51,00,Mismatch
2025.815,0802858-06.2022.8.15.0131,52,00,Mismatch
2057.9358,0874905-96.2019.8.15.2001,53,00,Mismatch
2043.2025,0800820-16.2024.8.15.0401,54,00,Mismatch
2025.815,0809114-50.2024.8.15.0371,55,00,Mismatch
2021030239,0803249-41.2024.8.15.0211,56,00,Mismatch
2000001074,0803648-70.2024.8.15.0211,57,00,Mismatch
2025.815,0847455-13.2021.8.15.2001,58,00,Mismatch
2025.815,0842262-80.2022.8.15.2001,59,00,Mismatch
2005042413,,60,00,Mismatch
2021.815,0800545-02.2021.8.15.1071,61,00,Mismatch
2010011233,0801804-56.2025.8.15.0371,62,00,Mismatch
2000001164,0801282-77.2025.8.15.0161,63,00,Mismatch
2025.815,0856615-28.2022.8.15.2001,64,00,Mismatch
2025100213,0812004-31.2024.8.15.0251,65,00,Mismatch
2000001137,0804780-81.2024.8.15.0141,66,00,Mismatch
2025.2025,0801525-30.2024.8.15.0331,67,00,Mismatch
2025.2025,0806890-65.2024.8.15.0331,68,00,Mismatch
2025.2025,0809027-20.2024.8.15.0331,69,00,Mismatch
018548-56.2025.8.15,0802240-10.2025.8.15.0211,70,00,Mismatch
2017.2711,0802271-30.2025.8.15.0211,71,00,Mismatch
2061.1718,0800708-98.2025.8.15.0211,72,00,Mismatch
2000001141,0802016-81.2024.8.15.0381,73,00,Mismatch
2025.2025,0859010-90.2022.8.15.2001,74,00,Mismatch
2023.815,,75,00,Mismatch
2025.815,0801715-88.2025.8.15.0191,76,00,Mismatch
2011317294,0802898-94.2021.8.15.0301,77,00,Mismatch
2010011233,0806043-06.2025.8.15.0371,78,00,Mismatch
2010011233,0805174-43.2025.8.15.0371,79,00,Mismatch
2005042413,0801931-87.2023.8.15.0201,80,00,Mismatch
2035.2025,0024880-24.2010.8.15.2003,81,00,Mismatch
2024.815,,82,00,Mismatch
2024.815,,83,00,Mismatch
2024.815,,84,00,Mismatch
2025.815,0804349-58.2022.8.15.2003,85,00,Mismatch
2025100613,0804876-33.2023.8.15.0141,86,00,Mismatch
2027165660,0802105-51.2025.8.15.0161,87,00,Mismatch
2008.2025,0800975-39.2024.8.15.0071,88,00,Mismatch
2000001168,0000194-63.2015.8.15.1171,89,00,Mismatch
2018250235,0804254-69.2025.8.15.0371,90,00,Mismatch
2025.2025,0865118-67.2024.8.15.2001,91,00,Mismatch
2020.815,0845349-15.2020.8.15.2001,92,00,Mismatch
2005042413,0800165-58.2024.8.15.0461,93,00,Mismatch
2005042413,0800473-94.2024.8.15.0461,94,00,Mismatch
2005042413,0801059-68.2023.8.15.0461,95,00,Mismatch
2005042413,0800496-74.2023.8.15.0461,96,00,Mismatch
2005042413,0801674-58.2023.8.15.0461,97,00,Mismatch
2005042413,0801101-49.2025.8.15.0461,98,00,Mismatch
2005042413,0800462-31.2025.8.15.0461,99,00,Mismatch
2005042413,0801404-97.2024.8.15.0461,100,00,Mismatch
2005042413,0800077-25.2021.8.15.0461,101,00,Mismatch
2066.61454,0801128-19.2023.8.15.0391,102,00,Mismatch
2005042413,0801376-32.2024.8.15.0461,103,00,Mismatch
2066.61454,0801035-27.2021.8.15.0391,104,00,Mismatch
2066.61454,0801034-42.2021.8.15.0391,105,00,Mismatch
2000000114,0801660-26.2025.8.15.0131,106,00,Mismatch
019390-43.2025.8.15,0805281-87.2025.8.15.0371,107,00,Mismatch
019391-09.2025.8.15,0805181-35.2025.8.15.0371,108,00,Mismatch
2008.169,0805161-44.2025.8.15.0371,109,00,Mismatch
2095.2025,0805171-88.2025.8.15.0371,110,00,Mismatch
2090855660,0800309-81.2018.8.15.0351,111,00,Mismatch
2005042413,0801155-49.2024.8.15.0461,112,00,Mismatch
2005042413,0000496-15.2020.8.15.0461,113,00,Mismatch
019418-61.2025.8.15,0800581-54.2024.8.15.0581,114,00,Mismatch
2005042413,0801308-53.2022.8.15.0461,115,00,Mismatch
2005042413,0800488-97.2023.8.15.0461,116,00,Mismatch
2040.2025,0800013-05.2024.8.15.0301,117,00,Mismatch
2016.2025,0801129-93.2025.8.15.0371,118,00,Mismatch
2066.61454,0800827-04.2025.8.15.0391,119,00,Mismatch
2010011233,0807839-66.2024.8.15.0371,120,00,Mismatch
2066.61454,0800796-81.2025.8.15.0391,121,00,Mismatch
2000000116,0806259-98.2024.8.15.0371,122,00,Mismatch
2020251015,0801390-11.2024.8.15.0301,123,00,Mismatch
019471-05.2025.8.15,0804302-28.2025.8.15.0371,124,00,Mismatch
2025115000,0802809-16.2025.8.15.0371,125,00,Mismatch
019489-72.2025.8.15,0801811-43.2025.8.15.0211,126,00,Mismatch
019492-67.2025.8.15,0801811-43.2025.8.15.0211,127,00,Mismatch
019493-33.2025.8.15,0802123-19.2025.8.15.0211,128,00,Mismatch
