PROCESSO ADMIN. Nº,PROCESSO Nº,OBSERVACOES__gt,OBSERVACOES__pred,status
2079325134,0800237-72.2021.8.15.0001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2079325134; Processo divergente do ZIP: 0800237-72.2021.8.15.0001; Data suspeita em Data da Autorização da Despesa: Comunicações; Fator inválido (não numérico),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2079325134; Processo divergente do ZIP: 0800237-72.2021.8.15.0001; Data suspeita em Data da Autorização da Despesa: Comunicações; Fator inválido (não numérico),TP
2024.815,0805250-57.2018.8.15.0001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [19]-0141990_Anexo.pdf; CNJs adicionais mencionados: 0870295-85.2019.8.15.2001; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0805250-57.2018.8.15.0001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; Documentos ignorados por divergência: [19]-0141990_Anexo.pdf; CNJs adicionais mencionados: 0870295-85.2019.8.15.2001; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0805250-57.2018.8.15.0001,TP
2022.815,0815354-35.2023.8.15.0001,"Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; PROCESSO Nº inválido (dígitos de verificação); Documentos ignorados por divergência: [13]-0300331_Anexo.pdf, [02]-0115259_Anexo.pdf; Processo adm. citado nos documentos: 2022.815; Processo divergente do ZIP: 0815354-35.2023.8.15.0001","Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; PROCESSO Nº inválido (dígitos de verificação); Documentos ignorados por divergência: [13]-0300331_Anexo.pdf, [02]-0115259_Anexo.pdf; Processo adm. citado nos documentos: 2022.815; Processo divergente do ZIP: 0815354-35.2023.8.15.0001",TP
2057.9358,0861321-30.2017.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2057.9358; Processo divergente do ZIP: 0861321-30.2017.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2057.9358; Processo divergente do ZIP: 0861321-30.2017.8.15.2001,TP
2020.815,0812051-32.2020.8.15.2001,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0025311-47.2009.8.19.0042, 0059115-21.2010.8.26.0577, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2020.815; Processo divergente do ZIP: 0812051-32.2020.8.15.2001; Fator inválido (não numérico)","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem VALOR ARBITRADO; Sem PERITO; CNJs adicionais mencionados: 0025311-47.2009.8.19.0042, 0059115-21.2010.8.26.0577, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2020.815; Processo divergente do ZIP: 0812051-32.2020.8.15.2001; Fator inválido (não numérico)",TP
2012.815,0086175-97.2012.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [04]-0124463_Anexo.pdf; Processo adm. citado nos documentos: 2012.815; Processo divergente do ZIP: 0086175-97.2012.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; CPF do perito ajustado pelo catálogo externo,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [04]-0124463_Anexo.pdf; Processo adm. citado nos documentos: 2012.815; Processo divergente do ZIP: 0086175-97.2012.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações; CPF do perito ajustado pelo catálogo externo,TP
2057970000,0807895-02.2024.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2057970000; Processo divergente do ZIP: 0807895-02.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Processo adm. citado nos documentos: 2057970000; Processo divergente do ZIP: 0807895-02.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,TP
2052.2025,0034084-93.2013.8.15.2001,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [22]-0302049_Anexo.pdf; CNJs adicionais mencionados: 0006937-36.2018.8.26.0021, 0014581-93.2019.8.26.0021, 0870295-85.2019.8.15.2001; Processo adm. citado nos documentos: 2052.2025; Processo divergente do ZIP: 0034084-93.2013.8.15.2001","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [22]-0302049_Anexo.pdf; CNJs adicionais mencionados: 0006937-36.2018.8.26.0021, 0014581-93.2019.8.26.0021, 0870295-85.2019.8.15.2001; Processo adm. citado nos documentos: 2052.2025; Processo divergente do ZIP: 0034084-93.2013.8.15.2001",TP
2025.815,0044092-37.2010.8.15.2001,"PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0806565-88.2023.8.15.0731, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0044092-37.2010.8.15.2001; Documento suspeito: 39.478.897/0001-07; CPF do perito ajustado pelo catálogo externo","PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0806565-88.2023.8.15.0731, 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0044092-37.2010.8.15.2001; Documento suspeito: 39.478.897/0001-07; CPF do perito ajustado pelo catálogo externo",TP
2025.2026,0829879-70.2022.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [16]-0141970_Anexo.pdf; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.2026; Processo divergente do ZIP: 0829879-70.2022.8.15.2001; Fator inválido (não numérico),PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [16]-0141970_Anexo.pdf; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.2026; Processo divergente do ZIP: 0829879-70.2022.8.15.2001; Fator inválido (não numérico),TP
2025.815,0807940-06.2024.8.15.0371,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [13]-0309964_Anexo.pdf; CNJs adicionais mencionados: 5036773-52.2020.8.13.0702; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0807940-06.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [13]-0309964_Anexo.pdf; CNJs adicionais mencionados: 5036773-52.2020.8.13.0702; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0807940-06.2024.8.15.0371; Data suspeita em Data da Autorização da Despesa: Comunicações,TP
2024.815,0040809-16.2004.8.15.2001,Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; PROCESSO Nº inválido (dígitos de verificação); Documentos ignorados por divergência: [1]-0078099_Migracao___ADMEletronico___SEI.pdf; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0040809-16.2004.8.15.2001,Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; PROCESSO Nº inválido (dígitos de verificação); Documentos ignorados por divergência: [1]-0078099_Migracao___ADMEletronico___SEI.pdf; Processo adm. citado nos documentos: 2024.815; Processo divergente do ZIP: 0040809-16.2004.8.15.2001,TP
2025589984,0812507-45.2021.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [01]-0182278_Anexo.pdf; Processo adm. citado nos documentos: 2025589984; Processo divergente do ZIP: 0812507-45.2021.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; Documentos ignorados por divergência: [01]-0182278_Anexo.pdf; Processo adm. citado nos documentos: 2025589984; Processo divergente do ZIP: 0812507-45.2021.8.15.2001; Data suspeita em Data da Autorização da Despesa: Comunicações,TP
2025.815,0844806-41.2022.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0844806-41.2022.8.15.2001,PROCESSO Nº inválido (dígitos de verificação); Sem PROCESSO Nº; Sem PERITO; Sem VALOR ARBITRADO; CNJs adicionais mencionados: 0815354-35.2023.8.15.0001; Processo adm. citado nos documentos: 2025.815; Processo divergente do ZIP: 0844806-41.2022.8.15.2001,TP
