PROCESSO ADMIN. Nº,PROCESSO Nº,PERITO__gt,PERITO__pred,status
2079325134,0800237-72.2021.8.15.0001,Cássio Medeiros da Costa Silva,Cássio Medeiros da Costa Silva,TP
2024.815,0805250-57.2018.8.15.0001,Teresa Helena de Araújo Gambarra,Teresa Helena de Araújo Gambarra,TP
2022.815,0815354-35.2023.8.15.0001,Marcela Vasconcelos Fernandes,Marcela Vasconcelos Fernandes,TP
2057.9358,0861321-30.2017.8.15.2001,Alfredo Gomes Neto,Alfredo Gomes Neto,TP
2020.815,0812051-32.2020.8.15.2001,Allysson Magno Soares Ribeiro,Allysson Magno Soares Ribeiro,TP
2012.815,0086175-97.2012.8.15.2001,Expertise Cálculos e Perícias Judiciais,Expertise Cálculos e Perícias Judiciais,TP
2057970000,0807895-02.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2052.2025,0034084-93.2013.8.15.2001,Kamila Sampaio Nunes Machado - Médica,Kamila Sampaio Nunes Machado - Médica,TP
2025.815,0044092-37.2010.8.15.2001,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,TP
2025.2026,0829879-70.2022.8.15.2001,Anastásio Alonso Varela,Anastásio Alonso Varela,TP
2025.815,0807940-06.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2024.815,0040809-16.2004.8.15.2001,Alisson Alves Magalhães,Alisson Alves Magalhães,TP
2025589984,0812507-45.2021.8.15.2001,Expertise Cálculos e Perícias Judiciais,Expertise Cálculos e Perícias Judiciais,TP
2025.815,0844806-41.2022.8.15.2001,EXPERTISE CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTARIA LTDA,EXPERTISE CONSULTORIA E AUDITORIA CONTÁBIL E TRIBUTARIA LTDA,TP
2020229480,0808671-02.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
010707-94.2025.8.15,0807162-70.2023.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2025.815,0807980-85.2024.8.15.0371,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2049.103,0802983-69.2022.8.15.0261,Alisson Barreto Fernandes,Alisson Barreto Fernandes,TP
2025.815,0801068-28.2024.8.15.0321,Telma Carla Bosco da Silva,Telma Carla Bosco da Silva,TP
2019585346,0042386-19.2010.8.15.2001,Lavenius Cavalcanti de Albuquerque Filho,Lavenius Cavalcanti de Albuquerque Filho,TP
2008500000,0043170-93.2010.8.15.2001,Lavenius Cavalcanti de Albuquerque Filho,Lavenius Cavalcanti de Albuquerque Filho,TP
2025.2025,0059558-32.2014.8.15.2001,Mariana de Andrade Barbosa,Mariana de Andrade Barbosa,TP
015004-78.2025.8.15,0823984-70.2018.8.15.2001,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,EXPERTISE CÁLCULOS E PERÍCIAS JUDICIAIS,TP
2020.236,0830572-20.2023.8.15.2001,Giulliene Pereira Rodrigues,Giulliene Pereira Rodrigues,TP
2000001128,0800696-73.2025.8.15.0441,Ana Roberta Borges da Silva,Ana Roberta Borges da Silva,TP
2053427100,0801633-30.2023.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2025.815,0801525-69.2021.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2025.815,0801447-09.2022.8.15.0201,Samuel Carlos Gomes de Morais,Samuel Carlos Gomes de Morais,TP
2025.815,0802926-98.2024.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
2000000107,0804872-89.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0804821-78.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0805061-67.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0806282-85.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2025.2025,0803860-40.2024.8.15.0131,Pedro de Sousa Leite,Pedro de Sousa Leite,TP
2080.837,0800784-88.2024.8.15.0751,Rui Alves do Nascimento,Rui Alves do Nascimento,TP
2046297374,0840653-62.2022.8.15.2001,Josélio Rodrigues de Oliveira Filho,Josélio Rodrigues de Oliveira Filho,TP
2025.815,0802828-51.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2024.815,0803087-46.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
016155-35.2025.8.15,0803389-75.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2000000931,0804518-18.2024.8.15.0211,Silmara Bezerra Porcino Medeiros,Silmara Bezerra Porcino Medeiros,TP
2000000862,0802999-08.2024.8.15.0211,Silmaria Bezerra Porcino Medeiros,Silmaria Bezerra Porcino Medeiros,TP
2041927123,0804778-35.2016.8.15.2003,JOELLEN ZANARDINE CORDEIRO – Engenheira Civil –,JOELLEN ZANARDINE CORDEIRO – Engenheira Civil –,TP
2043184850,0800748-50.2022.8.15.0061,Mário Márcio Pereira Dias Chaves,Mário Márcio Pereira Dias Chaves,TP
017493-36.2025.8.15,0802076-69.2023.8.15.0161,MAGNÓLIA SILVA VERÍSSIMO DE LIMA,MAGNÓLIA SILVA VERÍSSIMO DE LIMA,TP
2072162100,0802374-37.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2005042413,0801610-82.2023.8.15.0191,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2025.815,0802858-06.2022.8.15.0131,BRENO FRANCISCO PEREIRA,BRENO FRANCISCO PEREIRA,TP
2057.9358,0874905-96.2019.8.15.2001,Alfredo Gomes Neto,Alfredo Gomes Neto,TP
2043.2025,0800820-16.2024.8.15.0401,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0809114-50.2024.8.15.0371,Felipe Queiroga Gadelha,Felipe Queiroga Gadelha,TP
2021030239,0803249-41.2024.8.15.0211,Gustavo Leitão de Figueiredo Medeiros,Gustavo Leitão de Figueiredo Medeiros,TP
2000001074,0803648-70.2024.8.15.0211,Gustavo Leitão de Figueiredo Medeiros,Gustavo Leitão de Figueiredo Medeiros,TP
2025.815,0847455-13.2021.8.15.2001,Alcimar Alves Fraga,Alcimar Alves Fraga,TP
2025.815,0842262-80.2022.8.15.2001,JOSÉ WELLYSON MENESES BRILHANTE,JOSÉ WELLYSON MENESES BRILHANTE,TP
2005042413,,Fernanda de Araújo Farias,Fernanda de Araújo Farias,TP
2021.815,0800545-02.2021.8.15.1071,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2010011233,0801804-56.2025.8.15.0371,Eduardo de Araújo Leite,Eduardo de Araújo Leite,TP
2000001164,0801282-77.2025.8.15.0161,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.815,0856615-28.2022.8.15.2001,Giovanna Vilar Frazão Marques,Giovanna Vilar Frazão Marques,TP
2025100213,0812004-31.2024.8.15.0251,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
2000001137,0804780-81.2024.8.15.0141,Jamile Silva de Oliveira,Jamile Silva de Oliveira,TP
2025.2025,0801525-30.2024.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2025.2025,0806890-65.2024.8.15.0331,ALINE GRISI DE LACERDA,ALINE GRISI DE LACERDA,TP
2025.2025,0809027-20.2024.8.15.0331,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
018548-56.2025.8.15,0802240-10.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2017.2711,0802271-30.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2061.1718,0800708-98.2025.8.15.0211,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
2000001141,0802016-81.2024.8.15.0381,Aline Grisi de Lacerda - Entrevistadora Forense Psicóloga,Aline Grisi de Lacerda - Entrevistadora Forense Psicóloga,TP
2025.2025,0859010-90.2022.8.15.2001,Dommenique Carvalho de Lacerda,Dommenique Carvalho de Lacerda,TP
2023.815,,Aline Grisi de Lacerda,Aline Grisi de Lacerda,TP
