PROCESSO ADMIN. Nº,PROCESSO Nº,Valor Tabelado Anexo I - Tabela I__gt,Valor Tabelado Anexo I - Tabela I__pred,status
2079325134,0800237-72.2021.8.15.0001,,,TN
2024.815,0805250-57.2018.8.15.0001,,,TN
2022.815,0815354-35.2023.8.15.0001,,,TN
2057.9358,0861321-30.2017.8.15.2001,"R$ 43.000,00","R$ 43.000,00",TP
2020.815,0812051-32.2020.8.15.2001,,,TN
2012.815,0086175-97.2012.8.15.2001,,,TN
2057970000,0807895-02.2024.8.15.0371,,,TN
2052.2025,0034084-93.2013.8.15.2001,,,TN
2025.815,0044092-37.2010.8.15.2001,,,TN
2025.2026,0829879-70.2022.8.15.2001,"R$ 30.000,00","R$ 30.000,00",TP
2025.815,0807940-06.2024.8.15.0371,,,TN
2024.815,0040809-16.2004.8.15.2001,,,TN
2025589984,0812507-45.2021.8.15.2001,,,TN
2025.815,0844806-41.2022.8.15.2001,,,TN
2020229480,0808671-02.2024.8.15.0371,,,TN
010707-94.2025.8.15,0807162-70.2023.8.15.0371,,,TN
2025.815,0807980-85.2024.8.15.0371,,,TN
2049.103,0802983-69.2022.8.15.0261,,,TN
2025.815,0801068-28.2024.8.15.0321,"R$ 30.000,00","R$ 30.000,00",TP
2019585346,0042386-19.2010.8.15.2001,,,TN
2008500000,0043170-93.2010.8.15.2001,,,TN
2025.2025,0059558-32.2014.8.15.2001,,,TN
015004-78.2025.8.15,0823984-70.2018.8.15.2001,,,TN
2020.236,0830572-20.2023.8.15.2001,"R$ 43.000,00","R$ 43.000,00",TP
2000001128,0800696-73.2025.8.15.0441,"R$ 30.000,00","R$ 30.000,00",TP
2053427100,0801633-30.2023.8.15.0061,,,TN
2025.815,0801525-69.2021.8.15.0061,,,TN
2025.815,0801447-09.2022.8.15.0201,"R$ 43.000,00","R$ 43.000,00",TP
2025.815,0802926-98.2024.8.15.0061,,,TN
2000000107,0804872-89.2024.8.15.0131,,,TN
2025.2025,0804821-78.2024.8.15.0131,,,TN
2025.2025,0805061-67.2024.8.15.0131,,,TN
2025.2025,0806282-85.2024.8.15.0131,,,TN
2025.2025,0803860-40.2024.8.15.0131,,,TN
2080.837,0800784-88.2024.8.15.0751,"R$ 30.000,00","R$ 30.000,00",TP
2046297374,0840653-62.2022.8.15.2001,,,TN
2025.815,0802828-51.2024.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
2024.815,0803087-46.2024.8.15.0211,"R$ 30.000,00","R$ 30.000,00",TP
