ESPECIALIDADE,qtd_sem_especie
Interessado:,6
Perito Médico – mariomarcio.chaves@hotmail.com,4
Médico Psiquiatra,4
Médico,4
Perito Médico,3
expertisecpj.doc@gmail.com,3
se que podem ser,3
Médica,2
Médico Psiquiatra – gustavolfm1@hotmail.com,2
Contadora,1
Instituto Nacional do Seguro Social,1
Perita contadora,1
Médico Psiquiátrico,1
Interessado: Eduardo de Araújo Leite,1
desde logo,1
Perita Médica,1
excelencia.admcontabil@gmail.com,1
Contador,1
Médico Psiquiatra – Pedroed1913@hotmail.com,1
Interessado: BRENO FRANCISCO PEREIRA,1
mariomarcio.chaves@hotmail.com,1
Médico – joselio@hotmail.com.br,1
Perita Médica Oftalmologista,1
intimando,1
Tecnólogo em Gestão Financeira  – laveniuscavalcanti@gmail.com,1
Perito Tecnólogo em gestão financeira,1
perito Contador –,1
Perícias Contábeis e Cálculos Jurídicos,1
Médico Clinico,1
